SPECIES_NR,FAMILIE,GENUS,SOORT,SYST_NIV,STLYST90,FLORA_90,STATUS,UHOKN50,UHOKN80,HERKMST1,HERKMST2,HERKMST3,UFK_40,UFK_90,UHOKV50,UHOKV80,LV_DUUR,LV_VORM1,LV_VORM2,LV_VORM3,GR_VORM1,GR_VORM2,GR_VORM3,ANAT_BLD,GRN_BLD,VORM_BLD,HGT_MIN,HGT_MAX,HGT_EXTR,GESL_BLM,BLMKLEUR,VR_TYPE,VR_KLEUR,ZAADMORF,WRTLDIEP,KIEMTIJD,BGNBLOEI,ENDBLOEI,GRONDWTR,LICHTIND,TEMPTIND,CONTIIND,VOCHTIND,ZUURGIND,STIKSIND,ZOUT_IND,ZWAREIND,MAAI_IND,STRO_MIN,STRO_MAX,STRO_EXT,OECO_GRP,ECOL_GRP,TRANSGR,WESTHOFF,ELLENBRG,ECOTP_01,ECOTP_02,ECOTP_03,ECOTP_04,ECOTP_05,ECOTP_06,ECOTP_07,ECOTP_08,ECOTP_09,ECOTP_10,SG_VOCHT,SG_TROFIE,SG_ZUURG,SG_ZOUT,ECOTPAMP,GEBRUIK1,GEBRUIK2,GEBRUIK3,GEBRUIK4,WETT_BES,REDLIST1,REDLIST2,BESTUIV1,BESTUIV2,BESTUIV3,ZBESTUIV,PLG_LIGG,PLG_NORD,PLG_WEST,PLG_MIDD,PLG_OOST,PLG_Z_O,PLG_ZUID,PLG_FRYK,PLG_AMER,PLG_EURO,PLG_AZIE,PLG_BRON,PLG_NOOT,PLG_MONT,R_SALINIT,R_ALKALIN,R_DOM_ANIO,R_CARBOGEH,R_TROFIEGR,IVERSEN,SKLEROTYP,SOCIO_HDB,SOCIO_ISZ,HOOFD_ISZ,OVERSPOEL,MAAI_IBN,TYPE,SOCSRTGRP1,SOCSRTGRP2,SOCSRTGRP3,SOC_GRP_ND,SOC_GRP_DG,RL2000LANG,RL2000KORT,RL2000_ZK,RL2000_TK,FF_WET,WW_C_N,WW_CA,WW_CL,WW_GHG,WW_GLG,WW_GVG,WW_K,WW_MG,WW_NH4,WW_NO3,WW_NTOT,WW_PH_H2O,WW_PO4,WW_PTOT,WW_VOCHT
11,83,13,1,2,1,1,1,1378,1494,1,,,9,9,,,6,G,,,64,,,34,S,vm,60,90,,C,A,41,o,1,33,12,6,7,A,5,5,3,6,7,8,0,0,6,9,9,9,82,404,0,17Ac01,84000,R48,H48,H47,,,,,,,,3,4,0,1,1,16,,,,0,,,ID,IH,,,c,2,4,4,4,1,1,A,.,*,*,13,X,sa,,,,,,H,A,O,4,B,I,6,H,R33AA05,,,R,R,,,,,,17.7032,618.906,21.1572,65.2863,127.046,106.311,85.7625,82.1538,6.85753,26.7837,2484.02,5.42114,0.50,465.593,23.4869
12,83,19,1,2,1,1,1,671,792,1,,,7,8,,,1,T,,,65,,,40,S,vm,3,120,,C,A,41,o,1,33,12,6,13,A,6,6,3,5,8,6,0,0,,9,9,9,11,301,0,17Aa02,33000,P47,P48,,,,,,,,,3,4,0,1,1,99,,,,0,,,ID,IH,,Z,c,1,4,4,3,1,+,A,.,*,.,3,B,mo,,,,,,,,,,,,3,H,A30AA01,,,Pb,P,,,,,,12.0207,1248.85,26.2296,43.1128,100.711,91.1272,192.623,90.6927,2.90148,10.0481,1452.23,6.70830,3.73,543.162,14.2411
13,50,6,1,2,1,1,1,546,461,1,,,7,6,,,6,H,,,65,,,40,S,vs,30,120,,C,F,32,o,6,33,12,6,9,A,7,6,4,4,8,4,0,0,3,9,9,9,83,803,2,31Aa01,61110,G43,G47kr,,,,,,,,,3,2,5,1,2,16,,,,0,,3,ID,IH,,,c,1,4,4,4,3,4,A,.,*,*,13,M,mo,,,,,,,,,,,,4,H,Z17AA01,,,R,Z,GE-12,GE,a,tt,,9.97886,1021.57,14.5357,52.8405,109.015,56.6232,90.3691,84.6449,4.85660,5.47179,1387.80,7.08348,1.64,229.286,22.6075
14,50,6,2,2,1,1,1,60,53,1,,,5,4,24,0,6,H,,,65,,,40,S,vs,45,150,,C,F,32,o,6,,32,6,8,A,5,6,3,5,6,4,0,0,,9,9,9,83,803,0,31Aa,61110,G47,H47,,,,,,,,,3,3,0,1,1,99,,,,0,,3,I,,,,c,+,3,3,+,+,+,A,.,*,.,13,M,mo,,,,,,,,,,,,,H,,,,,,KW-6,KW,zz,t,,,,,,,,,,,,,,,,
15,37,17,1,2,1,1,12,386,83,1,,,6,2,,,8,T,,,65,,,54,W,lc,20,100,,C,P,43,o,1,44,01,6,7,A,7,,,,,,0,0,,9,9,9,11,302,0,13,34000,P47kr,,,,,,,,,,3,3,0,1,1,99,,,,0,c,1,IH,IL,,Z,c,1,4,4,4,2,4,A,.,*,*,1235,M,mo,,,,,,,,,,,,,H,A30AA,,,Pb,P,EB-13,EB,zzz,ttt,,10.2225,,27.3146,31.4793,89.2561,62.0590,,46.5983,2.26120,3.75718,839.586,7.36050,3.94,401.536,5.45559
16,126,38,4,3,0,0,,600,931,,,,,,,,,,,,52,53,,,,ly,,,,,,,o,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,18.7083,39.3983,9.88673,34.8318,96.9342,9.21834,12.6223,4.32941,9.35854,0.11240,89.4598,4.67594,0.38,9.32072,4.13606
17,126,38,6,2,1,1,1,,,1,,,8,8,,,6,H,,,52,,,24,S,ly,40,120,,C,O,31,o,1,,01/02,6,8,V,7,5,3,8,7,6,0,0,8,9,9,9,21,601,,,54000,R47,R48,G47,G48,,,,,,,3,4,0,1,1,99,,,,0,,,W,,,,c,2,4,4,4,3,3,A,.,*,*,3,AC,co,,,,,,,,,,,,5,H,G16AB,,,Gm,Gm,,,,,,13.3843,1088.31,26.7924,42.4302,99.1300,49.9909,109.769,119.658,5.22087,9.02290,2385.37,6.71357,1.03,316.399,24.9558
18,126,38,1,2,1,1,1,,,1,,,8,8,,,6,H,,,52,,,42,W,ly,8,40,,C,O,31,o,1,13,01,6,9,P,8,,5,,,5,0,0,9,1,3,0,21,602,,,37000,bG20,G28,bG40,V18,bV10,G47,G27,G48,,,2,4,0,2,2,29,,,,0,,,W,,,,c,4,4,4,4,3,4,A,*,*,*,35,X,sa,,,,,,H,A,K,23,M,VII,9,H,G12BA,,,Gp,Gp,,,,,,12.1152,3213.88,1132.50,1.11936,49.5632,16.9064,268.048,280.068,5.70085,6.42195,5656.28,6.97000,1.49,692.119,38.1322
19,126,38,7,2,1,1,1,1272,1452,1,,,9,9,,,6,H,,,51,,,40,S,ly,10,70,,C,O,31,o,1,44,01,6,8,A,7,,3,,4,4,0,1,6,9,9,9,64,606,,,50000,G67,G62,G47,G42,H69,H62,,,,,4,2,3,1,2,99,,,,0,,,W,,,,c,4,4,4,4,2,3,A,.,*,*,35,X,sa,,,,,,,,,,,,6,H,G14B,,,Gk,Gc,,,,,,16.0502,203.855,13.8387,60.3315,132.778,54.5972,36.4876,25.7472,4.24767,1.21126,1168.90,5.10144,1.12,187.612,13.2471
20,126,33,2,2,1,1,1,578,604,1,,,7,7,,,1+8,T,,,54,,,40,V,ly,4,60,,C,O,31,o,1,12,01,5,6,A,9,6,2,2,4,1,0,0,,9,9,9,64,604,0,20Ba,52220,P62,P67,,,,,,,,,5,2,3,1,1,99,,,,0,,,W,,,,c,0,4,3,0,+,3,A,.,*,.,13,X,mo,,,,,,,,,,,,7,H,G14BA01,,,Gk,Gc,,,,,,12.6002,216.223,8.93243,73.2673,140.311,64.1319,23.5419,16.2593,2.54575,0.72986,629.762,5.58689,2.38,125.379,9.10222
21,126,33,1,2,1,1,1,752,830,1,,,8,8,,,1,T,,,54,,,50,V,ly,4,25,,C,O,31,o,1,22,01,4,6,A,9,6,2,2,2,1,0,0,,9,9,9,64,604,3,20Ba02,52220,P62,P63,,,,,,,,,5,1,4,1,1,99,,,,0,,,W,,,,c,0,4,2,0,0,+,A,.,*,.,13,X,co,,,,,,,,,,,,7,H,G14BA01,,,Gk,Gc,,,,,,10.9086,25.6058,10.2360,112.550,169.903,69.8400,5.77362,5.06344,2.51485,0.51641,320.077,5.88056,1.56,61.1875,1.00000
22,101,1,1,2,1,1,12,2,0,2,,,1,1,,,1,T,,,64,,,40,W,ha,5,20,,C,F,41,o,1,12,12   ?,5,13,A,7,8,2,4,9,2,0,0,,9,9,9,12,304,0,13Ba,34110,P47kr,,,,,,,,,,3,3,0,1,1,99,,,,0,,1,IH,,,,m,0,2,2,1,3,4,A,.,*,.,1,M,mo,,,,,,,,,,,,,H,,,,,,BE-9,BE,zzz,tt,,,,,,,,,,,,,,,,
23,101,1,4,2,0,1,2,,,100,,,,,,,6,H,,,64,,,40,S,lw,5,30,,C,C,41,o,1,,12,5,6,,8,,,3,7,2,0,0,4,9,9,9,41,,,,53000,,,,,,,,,,,,,,,,99,,,,0,,,IH,,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,4,H,,,,,,,,,,,,,,,,,,,,,,,,,
24,101,1,2,2,1,1,1,574,645,1,,,7,7,,,6,H,,,61,,,34,W,ro,7,30,,C,P:C,41,o,10,22,22/32,4,6,A,6,,2,6,6,6,0,0,7,9,9,9,52,610,,,0,H42,H43,H47,G27,G47,,,,,,2,2,4,1,2,30,,,,0,,,IH,IL,,Z,c,1,4,4,4,1,1,A,.,*,.,13,X,mo,,,,,,,,,,,,6,H,B43A,Z17AA,G16AB,Gm,Gm,,,,,,17.0245,1347.04,21.5977,45.9970,102.044,47.9245,84.3758,117.073,7.43609,9.71091,3096.02,5.47503,0.40,316.148,37.2390
25,50,11,9,10,0,0,1,236,168,1,,,,,,,6,H,,,64,,,40,S,ha,10,50,,C,V,32,o,,,12,5,13,A,6,4,4,5,6,6,0,0,6,9,9,9,52,,,,54200,,,,,,,,,,,,,,,,99,,,,0,,,A,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,6,H,,,,,,,,,,,,,,,,,,,,,,,,,
26,114,4,1,2,1,1,1,32,137,1,,,5,5,,,6,A,B,,13,,,,S,ly,15,80,,C,P,32,o,1,,,7,9,W,7,7,6,11,7,4,0,0,,1,2,0,43,503,,,,W16,W18,P28,,,,,,,,1,4,5,1,1,99,,,,0,,,I,,,,m,0,+,4,3,2,+,A,*,*,*,134,C,co,,,,,,,,,,,,,H,W04,M08A,,Mp,Gm,,,,,,12.9763,,878.876,-44.202,-20.689,-25.916,,409.674,7.20279,9.46380,13095.1,6.94175,6.10,1495.34,53.6839
27,114,4,3,2,1,1,1,80,433,1,,,6,6,,,6,B,,,65,,,,S,lc,,140,,C,R:P,32,o,1,33,32/12,6,9,W,7,7,2,10,7,5,0,0,,1,3,0,43,502,0,19Bb03,,W18,P28,W16,,,,,,,,1,4,5,1,1,99,,,,0,,,ID,,,,s,0,3,4,3,3,4,A,.,*,*,13,C,mo,4,5,1,5,,,,,,,,,H,M08A,,,Mp,Gm,,,,,,12.4388,8636.83,608.038,-30.144,10.3509,-10.791,406.664,471.432,7.14252,13.2438,12546.5,6.62370,0.68,979.637,56.0285
28,114,4,2,2,1,1,1,1357,1401,1,,,9,9,,,6,A,B,,14,13,65,20,S,lw,30,170,,C,ARF,32,o,1,,,6,13,W,7,5,,10,,8,0,0,,1,3,0,43,501,0,19,15000,W18,W16,P28,P27,,,,,,,1,4,5,1,1,99,,,,0,,,ID,,,,c,3,4,4,4,2,3,B,*,*,*,13,X,mo,4,4,3,6,,T,M,D,29,L,XI,3,H,M08A,,,Mp,Gm,,,,,,13.3403,7353.53,525.837,-32.856,1.89951,-13.734,341.867,607.535,9.71722,17.7047,10575.2,6.37320,0.59,1186.46,60.5692
29,44,3,1,2,1,1,1,470,893,1,,,7,8,,,2,H,,,65,,,30,S,ro,15,90,,C,A,43,o,1,,12,4,6,A,5,6,3,5,7,9,0,0,,9,9,9,82,405,0,17Ab01,35220,H48,H47,H69,,,,,,,,4,4,0,1,2,16,,,,0,,,I1,,,Z,c,+,4,4,2,2,2,A,.,*,*,13,X,mo,,,,,,,,,,,,4,H,R33AA,,,R,R,,,,,,17.2305,531.622,21.1124,74.9678,134.615,109.241,81.7851,76.9927,6.96258,30.3395,2054.77,5.70176,0.35,412.162,20.6966
30,121,15,11,2,1,1,32,2,3,103,105,,1,1,,,6,G,,,64,,,,,ly,30,90,,C,R-P,43,o,1,,,7,9,A,8,5,4,3,8,2,0,0,,9,9,9,63,608,,,,G47,,,,,,,,,,3,3,0,1,1,99,,,,0,,,I,,,,b,0,0,2,0,1,+,A,.,*,.,13,H,mo,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
31,121,15,10,2,1,1,1,137,92,1,,,5,4,,,6,G,,,64,,,40,V,bu,30,80,,C,V,43,o,1,,,6,8,A,7,6,4,3,7,4,0,0,5,9,9,9,83,803,,,53000,G47kr,G67,,,,,,,,,4,3,0,1,1,99,,,,0,,3,I,,,Z,s,1,2,4,3,1,1,A,.,*,.,13,M,sa,,,,,,,,,,,,5,H,Z17A,,,R,Z,KW-7,KW,z,t,,9.54439,772.001,14.8359,61.5844,118.693,82.3698,81.6865,69.6773,4.26974,8.00614,1074.58,6.94869,2.00,166.144,19.4199
32,121,15,2,2,1,1,18,25,18,1,,,3,3,,,6,G,,,64,,,40,S,bu,15,50,,C,P:R,43,o,1,,01,5,7,A,7,,7,,7,2,0,0,,9,9,9,62,607,0,20Bb,52300,G47,,,,,,,,,,3,3,0,1,1,14,30,,,0,c,2,I*,,,Z,m,3,1,3,2,1,+,A,*,*,*,35,M,al,,,,,,,,,,,,,H,G14BC,,,Gk,Gf,,,,,,,,,,,,,,,,,,,,
33,121,15,9,2,1,1,1,23,32,1,,,3,3,,,6,G,,,64,,,40,V,ly,40,100,,C,P,43,o,1,,01,6,7,V,6,6,5,7,7,7,0,0,,9,9,9,93,906,,,84330,H47kr,G47kr,,,,,,,,,3,3,0,1,2,99,,,,0,+,3,I*,,,Z,m,0,1,3,1,1,+,A,.,*,.,13,M,mo,,,,,,,,,,,,3,H,B43AA,,,B,B,,,,,,16.3069,575.976,20.4738,77.8728,135.933,113.254,84.1488,83.6910,7.13707,41.1047,1914.88,6.00581,0.24,367.752,21.7840
34,121,15,4,2,1,1,1,54,68,1,,,4,4,,,6,G,,,63,,,30,V,lc,20,40,,C,A,43,o,10,,12,4,6,K,2,,2,6,7,8,0,0,,9,9,9,94,907,0,38A,84300,H47kr,,,,,,,,,,3,3,0,1,1,99,,,,1,,,I*,,,Z,s,0,3,3,+,1,1,A,.,*,.,13,X,mo,,,,,,,,,,,,3,H,B43AB01,,,B,B,,,,,2,20.1583,452.231,18.1971,101.048,149.434,110.238,67.6193,70.8800,8.59301,47.1996,2050.18,5.14818,0.15,473.888,19.3387
35,121,15,3,2,1,1,1,615,989,1,,,7,8,,,6,G,,,64,,,43,S,bu,30,70,,C,R/P,43,o,1,33,,6,8,A,5,7,3,4,,7,0,0,,9,9,9,82,405,0,12Ba07,33110,G47,H47,G67,,,,,,,,4,3,0,1,2,99,,,,0,,,I,,,Z,s,0,3,3,+,1,2,A,.,*,.,13,X,mo,,,,,,,,,,,,4,H,G16B,,,Gk,Ga,,,,,,10.5623,896.030,17.2458,55.2121,113.233,101.753,91.2500,68.9964,4.31986,9.06210,1345.24,6.76696,2.03,235.387,20.8589
36,22,2,2,2,1,1,1,,,1,,,9,9,1409,1420,7,P,,,82,,,42,S,ro,300,2400,,A,O,32,o,9,,12,2,3,K,5,5,3,9,6,,1,0,,9,9,9,91,901,7,35Aa,82110,H27,H22,H47,,,,,,,,2,2,3,1,2,16,24,,,0,,,W,,,,c,2,4,4,4,2,2,A,.,*,.,123,X,mo,,,,,,,,M,1,S,,2,H,B39AA,,,B,B,,,,,,19.3043,730.412,29.7368,37.2787,104.076,42.7205,83.0189,162.670,12.2702,24.0712,3993.42,4.94147,0.23,638.103,28.5025
37,22,2,3,2,1,1,19,,,1,,,5,7,135,523,7,P,,,82,,,40,S,lw,300,2400,,A,O,32,o,9,,12,2,3,P,6,4,5,7,8,,0,0,,9,9,9,92,908,0,38Aa,84330,H47,,,,,,,,,,3,3,0,1,2,24,,,,0,,,W,,,,b,4,+,3,3,1,+,A,*,*,*,1235,H,mo,,,,,,,,,,,,2,H,,,,,,,,,,,20.2077,210.165,20.3997,72.8818,146.619,81.9644,52.3934,43.8546,10.5492,15.2126,2577.56,4.71591,0.25,495.724,17.6303
38,126,44,3,2,1,1,1,149,177,1,,,5,5,,,8/6,T,H,,52,,,20,S,ly,15,45,,C,O,31,o,1,,01,5,13,W,9,,5,9,,9,0,0,,9,9,9,22,310,0,11Aa,32100,P28,P27,,,,,,,,,1,4,0,1,1,99,,,,0,,,W,,,,s,4,2,4,4,2,+,A,*,*,*,35,X,mo,,,,,,,,,,,,4,H,P29AA,,,Pb,P,,,,,,13.3881,4812.36,415.205,-43.226,-15.600,-26.040,272.779,297.141,6.83041,7.48883,10002.0,6.43634,0.32,1003.18,46.0235
39,126,44,2,2,1,1,1,116,61,1,,,5,3,,,6,H,,,54,,,,,ly,10,40,,C,O,31,o,1,33,01   ?,5,7,V,8,6,2,7,7,5,3,0,,9,9,9,33,204,0,24Ab,,bG40,,,,,,,,,,3,0,0,3,1,99,,,,0,+,2,W,,,,s,0,2,0,0,0,2,A,.,*,.,6,GM,pl,,,,,,,,,,,,,H,G12,,,Gp,Gp,BE-10,BE,zz,tt,,10.1372,3508.12,1869.69,9.54299,64.6949,31.9005,362.465,270.007,3.86335,5.87572,2906.45,7.45753,3.17,467.654,34.7343
40,126,44,5,2,1,1,1,842,1363,1,,,8,9,,,8/6,T,H,,52,,,20,W,ly,15,45,,C,O,31,o,1,33,01,5,13,V,9,6,3,8,7,7,2,0,4,9,9,9,21,601,0,16Ab02,37210,G28,P28,bG20,,,,,,,,1,5,0,2,2,99,,,,0,,,W,,,,c,3,4,4,4,1,1,A,.,*,.,35,X,sa,,,,,,,,P,,,,5,H,G12BA,,,Gp,Gp,,,,,,11.0057,3997.12,499.840,4.42568,49.9662,33.1646,312.734,227.249,5.47572,8.01555,7164.24,6.34871,1.69,780.601,37.8119
41,126,44,1,2,1,1,1,462,630,1,,,7,7,,,8+1,T,,,54,,,40,W,ly,20,80,,C,O,31,o,1,33,12   ?,5,7,A,6,6,3,5,7,6,0,0,,9,9,9,11,301,0,13,34000,P47kr,P48,,,,,,,,,3,4,0,1,1,99,,,,0,,,W,,,,s,+,3,2,+,2,2,A,.,*,*,13,E,sm,,,,,,,,,,,,4,H,A30A,,,Pb,P,,,,,,11.2493,1568.94,29.6448,35.3051,93.3639,72.4449,199.989,98.3564,3.15055,7.72120,1569.52,6.76334,3.88,536.737,14.5404
42,126,44,6,2,1,1,1,858,1347,1,,,8,9,,,6,H,,,52,53,,24,S,ly,30,120,,C,O,31,o,1,44,01,4,6,P,6,,5,6,6,7,0,0,7,9,9,9,51,610,3,25Ba,54000,G48,,,,,,,,,,3,5,0,1,1,29,,,,0,,,W,,,,c,3,4,4,4,3,2,A,.,*,*,135,X,mo,,,,,,M,M,P,5,G,I,7,H,G16BA,,,Gk,Ga,,,,,,11.2327,3208.37,29.1122,25.3187,79.7045,56.3558,239.182,157.922,5.14881,9.18183,4369.16,6.38678,1.67,618.286,33.6103
43,69,3,2,2,1,1,1,182,92,1,,,5,4,,,6,G,H,,65,,,,,ha,60,150,,C,R,43,o,1,,32/12,7,9,F,6,7,6,7,8,4,2,0,,9,9,9,44,504,,,,bR40,,,,,,,,,,3,0,0,3,1,16,,,,0,+,3,IH,,,Z,m,0,2,2,2,3,3,A,.,*,*,13,CDIM,pl,,,,,,,,,,,,3,H,R32BA03,,,R,R,KW-7,KW,z,t,,12.8154,2348.36,1143.55,10.7020,67.6890,29.9070,251.113,306.699,6.85614,20.7161,3732.86,7.41292,1.11,505.592,33.5610
44,44,19,1,2,1,1,12,54,7,1,,,4,2,,,1,T,,,65,,,50,S,lc,5,30,,C,F-A,43,o,9,11,01,4,6,A,9,6,4,3,8,1,0,0,,9,9,9,63,605,0,20B,52110,P63,,,,,,,,,,5,1,5,1,1,99,,,,0,+,1,I,,,Z,m,+,2,3,2,3,3,A,.,*,.,13,M,sm,,,,,,,,,,,,,H,G14CA02,,,Gk,Gf,BE-9,BE,zzz,tt,,,,,,,,,,,,,,,,
